Dataset,number_bands,beta,rep,accuracy
indianpines,12,1.0,4,0.7784281842818428
indianpines,12,3.0,4,0.7647696476964769
indianpines,12,5.0,4,0.710460704607046
indianpines,12,10.0,4,0.7033062330623306
indianpines,12,1.0,5,0.7726829268292683
indianpines,12,3.0,5,0.744390243902439
indianpines,12,5.0,5,0.712520325203252
indianpines,12,10.0,5,0.6979945799457995
indianpines,12,1.0,6,0.7448238482384824
indianpines,12,3.0,6,0.7551219512195122
indianpines,12,5.0,6,0.7107859078590786
indianpines,12,10.0,6,0.7042818428184282
indianpines,12,1.0,7,0.7746341463414634
indianpines,12,3.0,7,0.750569105691057
indianpines,12,5.0,7,0.722059620596206
indianpines,12,10.0,7,0.6907317073170731
indianpines,12,1.0,8,0.7644444444444445
indianpines,12,3.0,8,0.7570731707317073
indianpines,12,5.0,8,0.7258536585365853
indianpines,12,10.0,8,0.7173983739837398
indianpines,12,1.0,9,0.764010840108401
indianpines,12,3.0,9,0.7538211382113821
indianpines,12,5.0,9,0.7123035230352304
indianpines,12,10.0,9,0.6873712737127371
indianpines,14,1.0,0,0.7876422764227642
indianpines,14,3.0,0,0.7490514905149052
indianpines,14,5.0,0,0.7234688346883469
indianpines,14,10.0,0,0.7119783197831978
indianpines,14,1.0,1,0.7826558265582656
indianpines,14,3.0,1,0.7551219512195122
indianpines,14,5.0,1,0.7028726287262873
indianpines,14,10.0,1,0.7094850948509485
indianpines,14,1.0,2,0.7814634146341464
indianpines,14,3.0,2,0.7656368563685637
indianpines,14,5.0,2,0.6984281842818428
indianpines,14,10.0,2,0.7079674796747968
indianpines,14,1.0,3,0.7739837398373983
indianpines,14,3.0,3,0.7712737127371274
indianpines,14,5.0,3,0.7182655826558265
indianpines,14,10.0,3,0.6963685636856368
indianpines,14,1.0,4,0.7809214092140921
indianpines,14,3.0,4,0.744390243902439
indianpines,14,5.0,4,0.7112195121951219
indianpines,14,10.0,4,0.713170731707317
indianpines,14,1.0,5,0.7757181571815718
indianpines,14,3.0,5,0.7487262872628726
indianpines,14,5.0,5,0.71869918699187
indianpines,14,10.0,5,0.7301897018970189
indianpines,14,1.0,6,0.7605420054200542
indianpines,14,3.0,6,0.7646612466124662
indianpines,14,5.0,6,0.6836856368563685
indianpines,14,10.0,6,0.7240108401084011
indianpines,14,1.0,7,0.7707317073170732
indianpines,14,3.0,7,0.8009756097560976
indianpines,14,5.0,7,0.7049322493224932
indianpines,14,10.0,7,0.7074254742547426
indianpines,14,1.0,8,0.7824390243902439
indianpines,14,3.0,8,0.7438482384823848
indianpines,14,5.0,8,0.7137127371273713
indianpines,14,10.0,8,0.7128455284552846
indianpines,14,1.0,9,0.7564227642276423
indianpines,14,3.0,9,0.7529539295392954
indianpines,14,5.0,9,0.7177235772357724
indianpines,14,10.0,9,0.7163143631436314
indianpines,16,1.0,0,0.7608672086720867
indianpines,16,3.0,0,0.7610840108401083
indianpines,16,5.0,0,0.7488346883468835
indianpines,16,10.0,0,0.712520325203252
indianpines,16,1.0,1,0.7889430894308943
indianpines,16,3.0,1,0.7592411924119241
indianpines,16,5.0,1,0.7585907859078591
indianpines,16,10.0,1,0.7280216802168021
indianpines,16,1.0,2,0.7659620596205962
indianpines,16,3.0,2,0.738319783197832
indianpines,16,5.0,2,0.7401626016260162
indianpines,16,10.0,2,0.7140379403794038
indianpines,16,1.0,3,0.7781029810298103
indianpines,16,3.0,3,0.7448238482384824
indianpines,16,5.0,3,0.7849322493224932
indianpines,16,10.0,3,0.7312737127371274
indianpines,16,1.0,4,0.7943631436314363
indianpines,16,3.0,4,0.7718157181571815
indianpines,16,5.0,4,0.7632520325203253
indianpines,16,10.0,4,0.7076422764227642
indianpines,16,1.0,5,0.772249322493225
indianpines,16,3.0,5,0.7594579945799458
indianpines,16,5.0,5,0.7469918699186991
indianpines,16,10.0,5,0.7217344173441734
indianpines,16,1.0,6,0.7905691056910569
indianpines,16,3.0,6,0.7580487804878049
indianpines,16,5.0,6,0.753929539295393
indianpines,16,10.0,6,0.7120867208672087
indianpines,16,1.0,7,0.7844986449864498
indianpines,16,3.0,7,0.7480758807588076
indianpines,16,5.0,7,0.7490514905149052
indianpines,16,10.0,7,0.7140379403794038
indianpines,16,1.0,8,0.7800542005420055
indianpines,16,3.0,8,0.759349593495935
indianpines,16,5.0,8,0.746449864498645
indianpines,16,10.0,8,0.7120867208672087
indianpines,16,1.0,9,0.7643360433604336
indianpines,16,3.0,9,0.766070460704607
indianpines,16,5.0,9,0.7463414634146341
indianpines,16,10.0,9,0.7080758807588076
indianpines,18,1.0,0,0.7680216802168022
indianpines,18,3.0,0,0.7551219512195122
indianpines,18,5.0,0,0.7523035230352304
indianpines,18,10.0,0,0.7502439024390244
indianpines,18,1.0,1,0.7826558265582656
indianpines,18,3.0,1,0.7679132791327913
indianpines,18,5.0,1,0.7519783197831978
indianpines,18,10.0,1,0.7466666666666667
indianpines,18,1.0,2,0.7786449864498645
indianpines,18,3.0,2,0.7763685636856369
indianpines,18,5.0,2,0.7455826558265582
indianpines,18,10.0,2,0.7492682926829268
indianpines,18,1.0,3,0.7603252032520326
indianpines,18,3.0,3,0.7492682926829268
indianpines,18,5.0,3,0.7597831978319783
indianpines,18,10.0,3,0.7428726287262872
indianpines,18,1.0,4,0.7713821138211382
indianpines,18,3.0,4,0.7577235772357723
indianpines,18,5.0,4,0.7054742547425474
indianpines,18,10.0,4,0.7607588075880759
indianpines,18,1.0,5,0.7578319783197832
indianpines,18,3.0,5,0.747750677506775
indianpines,18,5.0,5,0.7455826558265582
indianpines,18,10.0,5,0.7459078590785908
indianpines,18,1.0,6,0.7665040650406504
indianpines,18,3.0,6,0.7592411924119241
indianpines,18,5.0,6,0.7550135501355013
indianpines,18,10.0,6,0.7602168021680217
indianpines,18,1.0,7,0.76
indianpines,18,3.0,7,0.7426558265582656
indianpines,18,5.0,7,0.7430894308943089
indianpines,18,10.0,7,0.749810298102981
indianpines,18,1.0,8,0.7614092140921409
indianpines,18,3.0,8,0.7582655826558266
indianpines,18,5.0,8,0.7478590785907859
indianpines,18,10.0,8,0.7578319783197832
indianpines,18,1.0,9,0.7723577235772358
indianpines,18,3.0,9,0.7475338753387534
indianpines,18,5.0,9,0.7431978319783198
indianpines,18,10.0,9,0.7501355013550135
indianpines,20,1.0,0,0.7803794037940379
indianpines,20,3.0,0,0.7705149051490515
indianpines,20,5.0,0,0.7658536585365854
indianpines,20,10.0,0,0.7719241192411924
indianpines,20,1.0,1,0.77289972899729
indianpines,20,3.0,1,0.7451490514905149
indianpines,20,5.0,1,0.7712737127371274
indianpines,20,10.0,1,0.7543631436314363
indianpines,20,1.0,2,0.7772357723577236
indianpines,20,3.0,2,0.7712737127371274
indianpines,20,5.0,2,0.7630352303523035
indianpines,20,10.0,2,0.7453658536585366
indianpines,20,1.0,3,0.7712737127371274
indianpines,20,3.0,3,0.7457994579945799
indianpines,20,5.0,3,0.743739837398374
indianpines,20,10.0,3,0.7618428184281842
indianpines,20,1.0,4,0.7629268292682927
indianpines,20,3.0,4,0.7624932249322494
indianpines,20,5.0,4,0.7364769647696477
indianpines,20,10.0,4,0.7438482384823848
indianpines,20,1.0,5,0.7761517615176152
indianpines,20,3.0,5,0.7615176151761518
indianpines,20,5.0,5,0.7575067750677507
indianpines,20,10.0,5,0.7326829268292683
indianpines,20,1.0,6,0.7811382113821138
indianpines,20,3.0,6,0.7680216802168022
indianpines,20,5.0,6,0.7699728997289973
indianpines,20,10.0,6,0.7581571815718157
indianpines,20,1.0,7,0.7824390243902439
indianpines,20,3.0,7,0.7644444444444445
indianpines,20,5.0,7,0.7787533875338754
indianpines,20,10.0,7,0.7564227642276423
indianpines,20,1.0,8,0.7861246612466125
indianpines,20,3.0,8,0.7583739837398374
indianpines,20,5.0,8,0.7847154471544715
indianpines,20,10.0,8,0.7375609756097561
indianpines,20,1.0,9,0.7766937669376693
indianpines,20,3.0,9,0.7687804878048781
indianpines,20,5.0,9,0.7577235772357723
indianpines,20,10.0,9,0.7578319783197832
indianpines,22,1.0,0,0.7707317073170732
indianpines,22,3.0,0,0.769539295392954
indianpines,22,5.0,0,0.7585907859078591
indianpines,22,10.0,0,0.762710027100271
indianpines,22,1.0,1,0.781029810298103
indianpines,22,3.0,1,0.770840108401084
indianpines,22,5.0,1,0.7856910569105691
indianpines,22,10.0,1,0.7807046070460705
indianpines,22,1.0,2,0.7861246612466125
indianpines,22,3.0,2,0.7707317073170732
indianpines,22,5.0,2,0.7656368563685637
indianpines,22,10.0,2,0.7666124661246613
indianpines,22,1.0,3,0.7712737127371274
indianpines,22,3.0,3,0.766070460704607
indianpines,22,5.0,3,0.7610840108401083
indianpines,22,10.0,3,0.7497018970189702
indianpines,22,1.0,4,0.7788617886178861
indianpines,22,3.0,4,0.7763685636856369
indianpines,22,5.0,4,0.7752845528455284
indianpines,22,10.0,4,0.7624932249322494
indianpines,22,1.0,5,0.7717073170731708
indianpines,22,3.0,5,0.7852574525745257
indianpines,22,5.0,5,0.7795121951219512
indianpines,22,10.0,5,0.7809214092140921
indianpines,22,1.0,6,0.7790785907859079
indianpines,22,3.0,6,0.7657452574525745
indianpines,22,5.0,6,0.7824390243902439
indianpines,22,10.0,6,0.7554471544715448
indianpines,22,1.0,7,0.7761517615176152
indianpines,22,3.0,7,0.7764769647696477
indianpines,22,5.0,7,0.7704065040650406
indianpines,22,10.0,7,0.7797289972899729
indianpines,22,1.0,8,0.7919783197831979
indianpines,22,3.0,8,0.7732249322493225
indianpines,22,5.0,8,0.7622764227642277
indianpines,22,10.0,8,0.7540379403794037
indianpines,22,1.0,9,0.7768021680216802
indianpines,22,3.0,9,0.7571815718157181
indianpines,22,5.0,9,0.7513279132791328
indianpines,22,10.0,9,0.7567479674796748
indianpines,24,1.0,0,0.7590243902439024
indianpines,24,3.0,0,0.7698644986449864
indianpines,24,5.0,0,0.7693224932249323
indianpines,24,10.0,0,0.7688888888888888
indianpines,24,1.0,1,0.7802710027100271
indianpines,24,3.0,1,0.7608672086720867
indianpines,24,5.0,1,0.7656368563685637
indianpines,24,10.0,1,0.7605420054200542
indianpines,24,1.0,2,0.7688888888888888
indianpines,24,3.0,2,0.760650406504065
indianpines,24,5.0,2,0.7697560975609756
indianpines,24,10.0,2,0.7732249322493225
indianpines,24,1.0,3,0.778970189701897
indianpines,24,3.0,3,0.7604336043360433
indianpines,24,5.0,3,0.7589159891598916
indianpines,24,10.0,3,0.7576151761517615
indianpines,24,1.0,4,0.7668292682926829
indianpines,24,3.0,4,0.7658536585365854
indianpines,24,5.0,4,0.7616260162601626
indianpines,24,10.0,4,0.7804878048780488
indianpines,24,1.0,5,0.7910027100271003
indianpines,24,3.0,5,0.757289972899729
indianpines,24,5.0,5,0.7777777777777778
indianpines,24,10.0,5,0.7451490514905149
indianpines,24,1.0,6,0.7825474254742547
indianpines,24,3.0,6,0.7760433604336043
indianpines,24,5.0,6,0.763360433604336
indianpines,24,10.0,6,0.7592411924119241
indianpines,24,1.0,7,0.7983739837398374
indianpines,24,3.0,7,0.77289972899729
indianpines,24,5.0,7,0.7971815718157181
indianpines,24,10.0,7,0.8080216802168022
indianpines,24,1.0,8,0.7804878048780488
indianpines,24,3.0,8,0.7702981029810299
indianpines,24,5.0,8,0.7764769647696477
indianpines,24,10.0,8,0.7601084010840108
indianpines,24,1.0,9,0.7907859078590785
indianpines,24,3.0,9,0.7781029810298103
indianpines,24,5.0,9,0.7526287262872629
indianpines,24,10.0,9,0.7499186991869918
indianpines,26,1.0,0,0.7828726287262873
indianpines,26,3.0,0,0.7712737127371274
